0.93462,0.93462,0.93237,0.93241
0.77819,0.77753,0.71151,0.71015
0.63968,0.62651,0.61236,0.61235
0.80428,0.80362,0.7938,0.79352
0.78115,0.75536,0.72685,0.71969
0.77517,0.67213,0.72779,0.62886
0.86281,0.85158,0.80967,0.79813
0.56366,0.55405,0.5635,0.55396
0.63291,0.61751,0.62942,0.61739
0.52414,0.52126,0.51756,0.51452
0.63161,0.61188,0.62749,0.61041
0.92468,0.92468,0.91918,0.92221
0.84397,0.57937,0.60713,0.4712
0.51145,0.39897,0.49692,0.39896
0.69555,0.67552,0.6924,0.67409
0.76032,0.75265,0.75629,0.75002
0.75118,0.74573,0.74113,0.74114
1.0043,0.89873,0.97855,0.88554
0.96712,0.49783,0.55918,0.50984
0.55128,0.53989,0.53579,0.53094
0.93238,0.81507,0.93023,0.81503
0.92527,0.9199,0.92431,0.91953
0.54608,0.54157,0.51233,0.51205
0.6194,0.61717,0.61137,0.61146
0.58398,0.57678,0.58295,0.57656
0.46818,0.46489,0.4646,0.46409
0.86752,0.86689,0.82904,0.82903
0.67913,0.67131,0.60816,0.60811
1.2244,0.90281,0.84476,0.66886
0.59652,0.59571,0.59564,0.595
0.68863,0.68757,0.65586,0.65567
0.65735,0.65734,0.65619,0.65609
0.53307,0.44151,0.49845,0.43819
0.57275,0.49499,0.56234,0.49775
0.72836,0.54062,0.72127,0.53957
0.98894,0.95859,0.9865,0.95858
0.48591,0.48432,0.48508,0.48396
0.72512,0.69283,0.72352,0.69278
0.77861,0.60579,0.72004,0.60722
0.86095,0.85736,0.85911,0.85717
0.80707,0.80114,0.80376,0.80076
0.76315,0.72875,0.75669,0.72732
0.93071,0.93023,0.92465,0.92463
0.73578,0.72288,0.73226,0.72232
0.84394,0.68663,0.83253,0.68484
0.468,0.46676,0.46731,0.46657
0.81739,0.81739,0.78481,0.78442
0.81025,0.78713,0.79696,0.78142
0.67233,0.67233,0.6708,0.67164
0.50649,0.50635,0.50606,0.50603
